,alpha,cg26
81,-97.42500053875779,-349.34489141816925
82,-95.79845074386263,-349.37777174008863
83,-97.27068981417267,-349.3480107732089
84,-98.20297165408138,-349.32916491487003
85,-93.3136998764445,-349.4280003950409
86,-94.65893384992917,-349.4008068063515
87,-100.19482455678192,-349.28890007646027
88,-98.65965435246241,-349.3199331814273
89,-98.80778726013163,-349.31693870950505
90,-95.66689827800096,-349.3804310422758
91,-90.40509531850195,-349.4867971527555
92,-100.20627654843055,-349.2886685771399
93,-94.8643419506873,-349.39665452985867
94,-96.90928618742657,-349.35531646260597
95,-95.17196871441071,-349.3904359271119
96,-97.76345797499026,-349.33804958062194
97,-93.7045839188943,-349.4200987659674
98,-101.02085996748202,-349.2722019647235
99,-97.4847533223218,-349.34368352968954
100,-100.02729268293753,-349.2922866939256
101,-94.98804914569317,-349.3941538179786
102,-95.9108076770283,-349.3755004710848
103,-93.40642361868495,-349.42612600637835
104,-95.69314109454042,-349.3799005499055
105,-93.25180411077936,-349.4292516034004
106,-98.15365668878245,-349.33016180530615
107,-98.23468762605718,-349.32852378394864
108,-92.85045640954003,-349.43736475287767
109,-96.7244473370669,-349.3590529365352
110,-93.03797692402064,-349.43357406973854
111,-95.45854387719957,-349.3846428775317
112,-95.17708787916013,-349.3903324443994
113,-102.70641938247033,-349.2381287771991
114,-100.87743847429861,-349.275101196509
115,-96.32010323732577,-349.36722665750415
116,-93.93618363572907,-349.4154170321096
117,-95.92312233055156,-349.3752515332574
118,-97.5067192033429,-349.3432394945658
119,-96.31479878273247,-349.36733388580745
120,-94.73617486386688,-349.3992453974038
121,-94.17770891562373,-349.4105346553269
122,-96.90343812329945,-349.3554346798482
123,-96.57480994607721,-349.36207782123415
124,-94.96708444077068,-349.3945776145627
125,-97.29661865931031,-349.34748662769704
126,-97.94350915166376,-349.3344098883915
127,-98.30095963500412,-349.32718411085943
128,-96.3980874524437,-349.36565022491914
129,-95.25882673686009,-349.3886801125969
130,-92.6562928113451,-349.44128972439324
131,-94.3717109030153,-349.40661295073573
132,-93.69142739491666,-349.42036472200823
133,-97.07867693790922,-349.3518922683861
134,-101.2885680703196,-349.2667903083269
135,-96.22112210562864,-349.3692275378243
136,-96.31546837088987,-349.36732035023994
137,-97.81732813504513,-349.33696060799423
138,-92.9541895541221,-349.4352678117339
139,-100.44454996799092,-349.2838519359497
140,-93.14823753005179,-349.4313451774951
141,-94.02555438320739,-349.41361042344846
142,-94.0422565034613,-349.41327279401196
143,-91.5959889503614,-349.4627235178074
144,-96.74087052635403,-349.35872094562257
145,-96.43405549531658,-349.36492313938385
146,-95.20966316473928,-349.38967394265546
147,-97.22924984693984,-349.3488484724096
148,-100.53838347516076,-349.2819551136501
