,egr,pyr,mats
41,-1083.9249841371516,-311.5052927721232,-1145.5713807030206
42,-1379.105219602816,-422.0430366985356,-1408.0184407051916
43,-2547.111256577794,-859.4325930012049,-2446.5017591607216
44,-1648.965216318892,-523.0989734753531,-1647.9530780585383
45,-1202.893481863288,-356.05607143864154,-1251.347204114247
46,-534.9849591335043,-105.9407439835262,-657.5045036898988
47,-66.2008573345478,69.60738145136226,-240.70488599596376
48,-1441.1004590360958,-445.2587302910346,-1463.1388937996417
49,-575.6085359685505,-121.1532751561607,-693.6232441276206
50,-902.8083738496542,-243.68157328360144,-984.5391835014532
51,-3345.346233625497,-1158.351974736936,-3156.2187311882712
52,-2788.622259363407,-949.8725282469104,-2661.231083904533
53,-2533.9703078724815,-854.5116306588285,-2434.8180387113875
54,-1347.6436199885093,-410.2614408332314,-1380.0456859958006
55,-1565.7943578697887,-491.9535309666984,-1574.005216192414
56,-2424.447547521957,-813.4980485040476,-2337.440494405376
57,-109.34688312639564,53.45025513530716,-279.0663555638188
58,-694.0469048103336,-165.50553358376737,-798.9277257943625
59,-384.0294283968896,-49.41160755772193,-523.2887586201367
60,-1770.951569105641,-568.7798646962257,-1756.4121000481555
61,-827.0996920006544,-215.33053252361003,-917.2260013144254
62,-2833.4134258829904,-966.6457193350457,-2701.0552609826054
63,-201.0747967248811,19.10040576867149,-360.62236220524613
64,-2328.5752453027403,-777.5962274501233,-2252.1996793712024
65,-942.7228432590626,-258.62856115213384,-1020.027450971392
66,52.65478039792489,114.1158968238649,-135.02940728933208
67,-1384.4873202117985,-424.05850110780773,-1412.8037085238004
68,-913.6894492722486,-247.7562686195185,-994.2136329096824
69,-2605.4755479307196,-881.2885857706265,-2498.3939078695275
70,-729.1780740067528,-178.66129307539887,-830.1631235691964
71,-126.23467709221443,47.12619132415533,-294.08142548968806
72,-1523.8013115224362,-476.228167117351,-1536.6688696819112
73,921.7685640921567,439.5776497537391,637.706467042083
74,-1236.6154729590198,-368.6841283630764,-1281.3296905992577
75,-3140.9869096171974,-1081.8244301655009,-2974.521255117761
76,-319.32098689332184,-25.179886468690352,-465.7559763078557
77,-317.43373798917196,-24.473158134513522,-464.0780085211402
78,-2161.651536099075,-715.0874006172786,-2103.7865017204444
79,-867.9753078360469,-230.63744610784448,-953.5688316020057
80,-294.5393794865664,-15.89978351975274,-443.7224550059616
81,-1735.0658663758863,-555.3415509395348,-1724.5058405972784
82,-1944.6701999301447,-633.8332226862428,-1910.866695748198
83,-345.18724559922833,-34.86616467311379,-488.75386957774646
84,-2753.583807911736,-936.7514892720839,-2630.078122202969
85,-2354.4389528317215,-787.2815503014849,-2275.195304369704
86,-2318.921167376563,-773.9810125223173,-2243.616163050206
87,-448.8245487012694,-73.67578772746683,-580.8986077333221
88,-3210.9222041252083,-1108.013479251227,-3036.7012733871366
89,-3589.5591064235637,-1249.8036939020117,-3373.3503097285006
90,-1389.1081574316777,-425.7888910864312,-1416.9121310988896
91,-2595.1612314504946,-877.4261277301412,-2489.223368277353
92,-2833.118980549953,-966.5354567940153,-2700.7934673301174
93,-370.16652762748777,-44.22029190981556,-510.96314493434335
94,-703.3949620154016,-169.00615127218884,-807.2391566946458
95,-1421.2022742011031,-437.80734908178437,-1445.447261766473
96,-1302.2805098241638,-393.2740709060358,-1339.712989342165
97,-1791.1697365146358,-576.3510715156496,-1774.3882310948418
98,-1356.3477377591469,-413.5209190287099,-1387.7845852998641
99,-2215.518148125432,-735.2591230124426,-2151.6797285020134
100,74.64531679908166,122.35081227367743,-115.47744908572932
101,-876.3338627555252,-233.7675195080043,-961.0004882677144
102,-1711.5421058651802,-546.5324807407251,-1703.5906808255274
