,HP1a,HP1B,HP1C
47,-1255.0466463147109,-212.41785910643375,-488.4236998100802
48,-1540.4664307893722,-442.555186630535,-488.89193697673767
49,-508.03439899126937,177.95427401008837,-488.4368651299601
50,-772.0668586532464,-385.0584354382641,-488.2717728801299
51,-964.9085312296854,71.22948263199574,-488.1486441196838
52,-1192.3339157333621,-292.60183197808936,-488.3195319603121
53,-575.3577486052594,-179.2129431289176,-487.2250018470897
54,-1866.6182707663947,-228.64163708185055,-488.53888117875164
55,-1569.5686488556348,-191.98873378826733,-488.95441671365876
56,-1486.9260759085466,-410.259542990708,-488.9766551588095
57,-1562.2464577194173,58.48900390818413,-486.2619372252718
58,-1287.4911391291776,-449.99021732235184,-488.1574645680867
59,-603.2673845538113,-131.2476039197916,-489.16649879095957
60,-895.4354186937944,-100.48405669353106,-487.8542712445355
61,-819.4711553301787,-309.797279570882,-488.3315311729679
62,-1756.2046301295848,-61.738706523696926,-487.68545279271075
63,-925.4744576455431,138.48107008556408,-487.9922173333086
64,-831.0924062802154,-400.1508141745237,-488.7982460072507
65,-1023.4582037948521,-270.6105778855573,-488.4694688574213
66,-956.1928668272047,20.705050559275815,-488.55175674329865
67,-622.1865174971884,3.753815637218054,-488.31559610292703
68,-674.961465270879,78.68947851809148,-487.76333678156107
69,-1770.3525792052526,35.522529841436985,-488.08334643615336
70,-2006.865647068041,-245.1861897536689,-487.4504857324753
71,-798.3029312768938,-155.17722397409904,-488.52356927751435
72,-1352.8915205376663,250.64275341039254,-488.70334762872017
73,-794.6779276975393,141.2681545191498,-490.3219551319084
74,-1141.8959694655186,-523.517412888954,-487.8381111947678
75,-469.3631717020472,152.48076739077996,-487.6222119041259
76,-1423.1563720645458,82.91417280924416,-489.06944929734397
77,-925.7752950657742,45.058137465990136,-488.4463618719364
78,-1568.6106564932436,273.32422628672344,-486.3653896904491
79,-573.5268459146074,136.79464338908176,-487.1428227156984
80,-1093.6628320150985,27.891229121949216,-487.8400536957905
81,-887.8784599007079,-202.08200102978853,-487.45338048461866
82,-1044.1751405918374,-116.59359226727707,-488.02610974951426
83,-1489.0691496640845,-418.9399599865593,-489.43100884181564
84,-1809.344997054371,-85.60882732023862,-487.871279992935
85,-1102.3573895071502,-158.73781993836903,-489.9241497766044
86,-958.9550523107737,141.55382454027526,-487.28563417998953
87,-1044.2759571284614,-136.0147306465902,-488.6840393106613
88,-831.8571785501382,-372.8570780404782,-488.99556887163135
89,-1571.2247207398489,93.41251187756396,-486.60588485517684
90,-717.1619635919837,69.65186200739721,-487.77252562371075
91,-1224.3269971169143,-137.98384150851527,-488.4630266511053
92,-989.6146795056401,-108.75770818837516,-488.9795693468527
93,-454.6886662921698,-391.23075063965916,-488.83913317657505
94,-891.2237416588295,-257.8933779392926,-488.60820476020797
95,-1299.0306740250614,1.8789549192554003,-489.2783632151381
96,-1371.719789181169,-321.79070822792414,-487.6227541144489
97,-951.1624148760798,-312.88018687371726,-488.5198317652105
98,-1036.0923193901845,-62.70170231219581,-488.88304574787367
99,-704.1360210738362,126.7436904820512,-487.7212516596055
100,-822.731550002925,23.633028526004207,-487.1227552886165
101,-1209.368307438582,-436.16126793301027,-488.8244680584898
102,-536.3011641040332,-40.98611757403339,-488.35441479229047
103,-1691.3434976614874,-74.60155016965523,-487.83747852502574
104,-1735.1416376934883,-8.128003903654001,-488.5568404617107
105,-797.9890103121784,-20.264538185253436,-487.0549407163229
106,-1381.760986673791,8.13497766621785,-486.8896480937518
107,-555.5849283240237,-9.637688552176197,-490.49808384005735
108,-1020.5696554306585,-17.04108025968591,-488.79757833266876
109,-2160.2697049881226,197.42462633478868,-488.0027791072812
110,19.077029265652605,246.7943489214643,-487.58915169082377
111,-800.8865062225146,-99.68364171413766,-489.40387526019936
112,-1348.12229997938,-127.59728044759147,-487.56367794365434
113,-814.5839519287498,-217.9362427995078,-488.0579011763075
114,-1216.7791378875143,140.81654754800488,-489.66191277718053
115,-215.83888901956405,-347.0544302450096,-489.85679894320276
116,-1068.0354665791008,-267.78555865056137,-488.21654925705053
117,-1578.319694526022,-241.55016866053612,-486.8373711746019
118,-1460.6889785994003,-147.43976459315968,-487.5792475922311
119,-1393.721138286678,248.75874990788307,-488.56803448863855
120,-483.86069902172244,-353.4355740451783,-487.92856859531923
121,-1916.6990726906304,-623.0758028205859,-487.7707899719516
122,-1235.6759342827331,-343.1274600375816,-487.6015474379677
123,-705.0130714565478,86.048848022432,-488.3720215105765
124,-1840.9752393285185,-117.31969562957616,-488.9014368484342
125,-1230.2470276193244,85.43955843850323,-489.0230819924175
126,-1617.0899126252082,-8.409730802346502,-488.83081989730454
127,-1183.777564581129,-356.9508272573818,-487.26991578744884
128,-1197.553418414577,-154.52781055468688,-486.203978830973
129,-2038.9667308260705,-386.82605231310407,-488.5017561795626
130,-1349.2459123622261,-194.8155072685374,-487.71356170276306
131,-966.1739869091529,-11.56320826808747,-488.92321335505676
