,HP1a,HP1B,HP1C
89,-782.3976010889304,148.7036858389652,-153.03645708602465
90,-354.87013846277193,136.80430382002848,-153.80415305045463
91,-608.7472430443065,32.8199191164443,-154.25853015304108
92,-491.25475112186683,47.45642641792936,-154.5984357638138
93,-223.48103167575974,-94.00665058315626,-154.5060231856749
94,-442.00213162639795,-27.23102180899642,-154.35406311527555
95,-646.1424732777868,102.86349343048263,-154.79505399717738
96,-682.5292524730444,-59.23093541612723,-153.70559744846642
97,-472.00628373264993,-54.76852810988889,-154.29591017440973
98,-514.5205676937644,70.52136829374794,-154.53491940178785
99,-348.3496010590625,165.3960082090787,-153.77041274548196
100,-407.71625197261085,113.75797795549515,-153.37657836121684
101,-601.2592094204715,-116.50794547632874,-154.49637295547933
102,-264.3346853634685,81.39657751470631,-154.18705923589974
103,-842.526760780379,64.56190016485127,-153.84689463943602
104,-864.4512710331833,97.85198799892933,-154.32026336668477
105,-395.3306103738161,91.77398682506431,-153.33195367906652
106,-687.5556836689028,105.99652240873162,-153.22318456802526
107,-273.9877684862889,97.09593484133258,-155.59767861543
108,-506.75021934374854,93.38830114255516,-154.4786784478347
109,-1077.26224116447,200.7931653476009,-153.9556689882657
110,13.67700385029355,225.5176233248803,-153.68348571903962
111,-396.78104134525034,52.00073745454622,-154.87764590814072
112,-670.7168012235816,38.02153012465671,-153.6667229815901
113,-403.6377203869673,-7.220406863335103,-153.99194149912228
114,-604.968929240552,172.44372379096336,-155.04744484351195
115,-103.9174066709748,-71.88305903834285,-155.17568768159367
116,-530.5106955288397,-32.18504612764683,-154.09633823772083
117,-785.9492091116572,-19.046309198608835,-153.18878427879608
118,-727.0655251128982,28.084373508866257,-153.67696842877683
119,-693.5427065532124,226.50139935388208,-154.32762948102783
120,-238.08399267380446,-75.07874889577042,-153.90683552376817
121,-955.3354465292025,-210.11512657922444,-153.80301092265734
122,-614.4283036799553,-69.91642433220036,-153.69164261301702
123,-348.78863568687854,145.0159479298575,-154.1986451558673
124,-917.4295455088362,43.16856560768673,-154.54702147644747
125,-611.7106969570114,144.71081446091011,-154.62706881290885
126,-805.3568379195956,97.71089859224764,-154.50055271771328
127,-588.4489735578255,-76.83919488920354,-153.4734158146336
128,-595.344902206665,24.534665604205713,-152.77198695847287
129,-1016.5402950094858,-91.8007686585352,-154.28401572109476
130,-671.2792600674939,4.358504746623847,-153.76535244843603
131,-479.5207892506776,96.13163063206939,-154.56135128276355
132,-740.2632447527051,-40.843694864890516,-154.0477832783802
133,-1017.5940337349842,-157.7357370964071,-153.8367050784167
134,-301.07220289889113,232.33538761781026,-154.3606402892219
135,-421.7307223666474,186.20354251238743,-153.29652891637969
136,-409.67448850248195,-25.54756516939471,-153.29304593018392
137,-491.7035459289381,-55.008252706830255,-154.20201164837954
138,-372.88013505110223,256.65344388304817,-153.4207297293169
